 2016-01-29 20:29:24,026 [P9804/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-01-29 20:29:24,027 [P9804/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 0ms)
 2016-01-29 20:29:24,027 [P9804/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-01-29 20:29:24,029 [P9804/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 2ms)
 2016-01-29 20:29:24,117 [P9804/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-01-29 20:29:24,118 [P9804/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2016-01-29 20:29:24,118 [P9804/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-01-29 20:29:24,118 [P9804/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2016-01-29 20:29:24,675 [P9804/D3/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-01-29 20:29:24,814 [P9804/D3/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-01-29 20:29:24,815 [P9804/D3/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-01-29 20:29:24,861 [P9804/D3/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-01-29 20:29:24,933 [P9804/D3/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-01-29 20:29:24,979 [P9804/D3/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-01-29 20:29:24,988 [P9804/D3/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 1387ms)
 2016-01-29 20:29:26,201 [P9804/D3/T72] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:49709/umbraco (UmbracoModule request)
 2016-01-29 20:29:41,047 [P11984/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.3.5 application starting on SHARIF-PC
 2016-01-29 20:29:41,076 [P11984/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-01-29 20:29:41,086 [P11984/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 9ms)
 2016-01-29 20:29:41,197 [P11984/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-01-29 20:29:41,462 [P11984/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 265ms)
 2016-01-29 20:29:41,474 [P11984/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-01-29 20:29:41,478 [P11984/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 4ms)
 2016-01-29 20:29:41,478 [P11984/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-01-29 20:29:41,485 [P11984/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 6ms)
 2016-01-29 20:29:41,498 [P11984/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-01-29 20:29:41,503 [P11984/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 5ms)
 2016-01-29 20:29:41,504 [P11984/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-01-29 20:29:41,511 [P11984/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 6ms)
 2016-01-29 20:29:41,554 [P11984/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-01-29 20:29:41,562 [P11984/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 8ms)
 2016-01-29 20:29:41,562 [P11984/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-01-29 20:29:41,575 [P11984/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 12ms)
 2016-01-29 20:29:42,122 [P11984/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-01-29 20:29:42,294 [P11984/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-01-29 20:29:42,296 [P11984/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-01-29 20:29:42,309 [P11984/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-01-29 20:29:42,320 [P11984/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-01-29 20:29:42,372 [P11984/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-01-29 20:29:42,381 [P11984/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 1397ms)
